ID,FullName,Gender,"Date of Birth","ID Number","Phone Number","Crops Grown",Area,"Farm Operator","Date Created","Date Updated"
1,notorious,male,2024-05-09,38960200,"0111 336332",beans,karatina,mugo,2024-05-09T03:30:02.000000Z,2024-05-09T03:30:02.000000Z
2,notorious,male,2024-05-09,38960200,"0111 336332",beans,karatina,mugo,2024-05-09T03:30:26.000000Z,2024-05-09T03:30:26.000000Z
3,"Alex Muthee",female,2024-05-09,38960200,"0111 336332",beans,karatina,mugo,2024-05-09T03:30:52.000000Z,2024-05-09T03:30:52.000000Z
4,"Alex Muthee",female,2024-05-09,38960200,"0111 336332",beans,karatina,mugo,2024-05-09T03:31:14.000000Z,2024-05-09T03:31:14.000000Z
5,"Alex Muthee",female,2024-05-09,38960200,"0111 336332",beans,karatina,mugo,2024-05-09T03:31:28.000000Z,2024-05-09T03:31:28.000000Z
6,"Alex Muthee",female,2024-05-09,38960200,"0111 336332",beans,karatina,mugo,2024-05-09T03:31:42.000000Z,2024-05-09T03:31:42.000000Z
7,"Alex Muthee",male,2024-05-09,38960200,"0111 336332",beans,karatina,mugo,2024-05-09T03:31:58.000000Z,2024-05-09T03:31:58.000000Z
8,"Alex Muthee",female,2024-05-17,38960200,"0111 336332",beans,karatina,mugo,2024-05-09T03:33:32.000000Z,2024-05-09T03:33:32.000000Z
9,"Alex Muthee",male,2024-05-09,38960200,"0111 336332",benas,karatina,mugo,2024-05-09T03:33:47.000000Z,2024-05-09T03:33:47.000000Z
10,"Alex Muthee",female,2024-05-25,38960200,"0111 336332",beans,karatina,mugo,2024-05-09T03:34:01.000000Z,2024-05-09T03:34:01.000000Z
11,"Alex Muthee",male,2024-05-09,38960200,"0111 336332",beans,karatina,mugo,2024-05-09T03:34:19.000000Z,2024-05-09T03:34:19.000000Z
12,"Alex Muthee",male,2024-05-11,38960200,"0111 336332",hoho,adad,ann,2024-05-09T03:38:06.000000Z,2024-05-09T03:38:06.000000Z
